buildingType,primaryPropertyType,councilDistrictCode,neighborhood,nb_buildings,nb_floors,propertyGFA_total,propertyGFA_parking,propertyGFABuilding,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,energystar_score,siteEnergyUse_kBtu,GHG_emissions_TCO2e,complianceStatus,buildingAge,consumeGas,consumeSteam
nonresidential,small- and mid-sized office,2,greater duwamish,1.0,1.0,24291,0,24291,office,24023.0,,,,,98.0,655422.375,19.61,compliant,63,True,False
nonresidential,self-storage facility,2,greater duwamish,1.0,1.0,25881,0,25881,self-storage facility,25881.0,,,,,,545426.375,3.8,compliant,86,False,False
nonresidential,warehouse,2,greater duwamish,1.0,1.0,38412,0,38412,non-refrigerated warehouse,32000.0,office,8000.0,,,62.0,1628540.0,67.05,compliant,92,True,False
nonresidential,warehouse,2,greater duwamish,1.0,1.0,53550,0,53550,non-refrigerated warehouse,53550.0,,,,,11.0,4590246.5,174.62,compliant,56,True,False
nonresidential,distribution center,2,greater duwamish,1.0,1.0,160000,0,160000,distribution center,160000.0,,,,,94.0,1157976.5,8.07,compliant,48,False,False
nonresidential,small- and mid-sized office,3,central,1.0,3.0,31357,0,31357,office,25500.0,medical office,5000.0,parking,0.0,55.0,1965075.625,22.48,compliant,17,True,False
nonresidential,small- and mid-sized office,3,central,1.0,2.0,28296,0,28296,office,26899.0,,,,,80.0,1328461.25,9.26,compliant,53,False,False
nonresidential,small- and mid-sized office,2,greater duwamish,1.0,2.0,23687,0,23687,office,23687.0,,,,,68.0,1084553.75,7.56,compliant,33,False,False
nonresidential,small- and mid-sized office,3,central,1.0,1.0,45068,0,45068,office,45068.0,,,,,100.0,284857.3125,8.59,non-compliant,69,True,False
nonresidential,k-12 school,5,north,1.0,2.0,23923,0,23923,k-12 school,23923.0,,,,,69.0,805643.5,19.51,compliant,85,True,False
nonresidential,k-12 school,3,central,1.0,2.0,21592,0,21592,k-12 school,20700.0,,,,,47.0,1431784.0,54.24,compliant,94,True,False
nonresidential,distribution center,1,greater duwamish,1.0,1.0,29619,0,29619,distribution center,15000.0,office,14619.0,,,50.0,1280263.75,42.45,compliant,26,True,False
nonresidential,medical office,1,southwest,1.0,3.0,40304,12000,28304,medical office,20106.0,parking,16412.0,,,5.0,1961581.5,13.67,compliant,32,False,False
sps-district k-12,k-12 school,2,greater duwamish,1.0,2.0,52609,0,52609,k-12 school,52609.0,,,,,67.0,1801941.75,46.51,error - correct default data,45,True,False
nonresidential,small- and mid-sized office,2,greater duwamish,1.0,3.0,34425,0,34425,office,34425.0,non-refrigerated warehouse,15536.0,,,84.0,2018385.75,50.07,compliant,102,True,False
nonresidential,other,2,greater duwamish,1.0,3.0,47836,7572,40264,other - lodging/residential,43336.0,parking,4500.0,,,,3540225.75,109.59,compliant,24,True,False
nonresidential,small- and mid-sized office,7,downtown,1.0,3.0,32160,0,32160,office,35693.0,retail store,14219.0,,,,2805826.0,19.56,compliant,110,False,False
nonresidential,small- and mid-sized office,7,downtown,1.0,2.0,32027,0,32027,office,17526.0,retail store,14501.0,,,54.0,3999505.25,128.41,compliant,116,True,False
nonresidential,mixed use property,7,downtown,1.0,2.0,71919,14083,57836,office,34550.0,retail store,23085.0,parking,11465.0,37.0,5381105.0,37.51,compliant,116,False,False
nonresidential,small- and mid-sized office,3,central,1.0,3.0,25200,0,25200,office,16000.0,retail store,8000.0,,,47.0,1748444.25,37.08,compliant,109,True,False
nonresidential,distribution center,2,greater duwamish,1.0,1.0,41308,0,41308,distribution center,41308.0,,,,,7.0,1642471.5,38.57,compliant,64,True,False
nonresidential,small- and mid-sized office,5,northwest,1.0,3.0,76105,27307,48798,office,76105.0,,,,,91.0,2472350.25,17.24,compliant,29,False,False
nonresidential,small- and mid-sized office,7,downtown,1.0,3.0,34030,0,34030,office,34030.0,,,,,50.0,1748629.875,22.26,compliant,37,True,False
nonresidential,small- and mid-sized office,3,downtown,1.0,5.0,70332,22095,48237,office,44417.0,parking,25915.0,,,89.0,1981115.25,19.12,compliant,15,True,False
nonresidential,small- and mid-sized office,2,downtown,1.0,1.0,45145,0,45145,office,43813.0,,,,,,1268459.0,43.63,compliant,28,True,False
nonresidential,warehouse,3,downtown,1.0,2.0,25840,0,25840,non-refrigerated warehouse,25840.0,,,,,92.0,313528.0938,2.19,compliant,60,False,False
nonresidential,other,1,delridge,1.0,1.0,26232,0,26232,other - services,18262.0,office,7970.0,,,,3094090.0,122.71,compliant,45,True,False
campus,other,1,delridge,5.0,1.0,57952,0,57952,adult education,57952.0,,,,,,3091387.5,96.15,compliant,11,True,False
nonresidential,distribution center,1,delridge,1.0,1.0,42900,0,42900,distribution center,43050.0,,,,,53.0,436252.5,3.04,compliant,37,False,False
nonresidential,supermarket / grocery store,2,greater duwamish,1.0,1.0,21603,0,21603,supermarket/grocery store,21603.0,,,,,16.0,5833800.0,129.89,compliant,51,True,False
nonresidential,worship facility,5,northwest,1.0,2.0,44719,0,44719,worship facility,45909.0,medical office,1025.0,office,972.0,,1614026.25,53.21,compliant,51,True,False
sps-district k-12,k-12 school,2,greater duwamish,1.0,1.0,50546,0,50546,k-12 school,53234.0,,,,,94.0,1155080.5,12.15,error - correct default data,45,True,False
nonresidential,medical office,5,northwest,1.0,2.0,34759,0,34759,medical office,44667.0,parking,0.0,,,81.0,1633105.375,11.39,compliant,37,False,False
nonresidential,other,7,magnolia / queen anne,1.0,2.0,27144,0,27144,other,27144.0,,,,,,1012024.313,32.58,compliant,96,True,False
nonresidential,small- and mid-sized office,1,delridge,1.0,2.0,30659,0,30659,office,27262.0,non-refrigerated warehouse,8653.0,data center,285.0,88.0,2619088.5,55.85,compliant,28,True,False
nonresidential,other,1,delridge,1.0,1.0,23260,0,23260,"repair services (vehicle, shoe, locksmith, etc)",13075.0,office,10185.0,,,,1612105.75,52.41,compliant,53,True,False
